Cantidad de vehiculos,Velocidad promedio,Duracion de congestion,Fecha y hora,Ubicacion,Intensidad de trafico,Dia laboral,Latitud,Longitud
291,69.3,15,2024-11-06 00:00:00,Calle A,3,0,-33.3445,178.8583
390,41.7,52,2024-11-06 00:15:00,Calle A,3,0,-47.7508,160.559
327,31.1,22,2024-11-06 00:30:00,Calle C,1,0,-75.1774,-88.8736
282,78.4,4,2024-11-06 00:45:00,IntersecciÃ³n B,1,1,58.1945,-148.2057
69,63.6,36,2024-11-06 01:00:00,IntersecciÃ³n B,2,0,-41.6781,-170.3558
147,64.8,44,2024-11-06 01:15:00,IntersecciÃ³n B,3,1,71.5599,120.9535
303,86.5,42,2024-11-06 01:30:00,Calle A,2,0,-72.1941,-125.0468
405,34.5,22,2024-11-06 01:45:00,Plaza E,1,0,-4.7007,-73.8957
325,36.4,21,2024-11-06 02:00:00,Calle A,2,0,50.1024,-56.4052
57,99.4,33,2024-11-06 02:15:00,Plaza E,2,1,50.7829,-162.6668
317,92.8,25,2024-11-06 02:30:00,Avenida D,3,1,27.7839,28.0845
259,69.2,8,2024-11-06 02:45:00,Calle A,3,1,3.831,156.4272
446,56.6,27,2024-11-06 03:00:00,Calle A,2,0,55.8543,129.3319
365,99.2,28,2024-11-06 03:15:00,Calle A,3,0,-85.7757,-77.8546
396,56.1,57,2024-11-06 03:30:00,IntersecciÃ³n B,1,0,63.2513,121.7108
414,61.2,13,2024-11-06 03:45:00,IntersecciÃ³n B,1,0,4.7655,114.3963
415,85.5,28,2024-11-06 04:00:00,Plaza E,2,0,62.5415,-107.5712
463,35.6,25,2024-11-06 04:15:00,Plaza E,3,1,-61.2456,-47.8866
54,75.0,0,2024-11-06 04:30:00,Calle A,1,1,37.0064,-46.2244
474,45.0,28,2024-11-06 04:45:00,Plaza E,3,1,50.6778,131.8485
137,35.0,4,2024-11-06 05:00:00,IntersecciÃ³n B,2,1,62.9983,123.2116
149,59.3,26,2024-11-06 05:15:00,Plaza E,2,0,-84.6017,152.1637
219,30.9,29,2024-11-06 05:30:00,Avenida D,3,1,51.7008,-82.0552
432,55.5,13,2024-11-06 05:45:00,IntersecciÃ³n B,2,0,59.8887,74.8818
441,34.2,20,2024-11-06 06:00:00,Avenida D,2,0,-84.4887,-126.6888
290,48.2,2,2024-11-06 06:15:00,Plaza E,1,0,0.3331,159.5341
192,61.5,46,2024-11-06 06:30:00,Calle C,1,1,21.1202,73.7684
94,87.1,42,2024-11-06 06:45:00,Calle A,3,1,2.7008,-164.8844
137,41.7,47,2024-11-06 07:00:00,IntersecciÃ³n B,1,0,-70.4316,-116.087
160,60.7,8,2024-11-06 07:15:00,Avenida D,3,0,82.2135,18.007
150,40.2,28,2024-11-06 07:30:00,Calle C,3,0,-38.7188,-40.3289
287,57.1,25,2024-11-06 07:45:00,Calle C,3,0,48.3995,-3.6857
206,52.2,51,2024-11-06 08:00:00,IntersecciÃ³n B,2,1,66.1823,160.9811
450,50.4,12,2024-11-06 08:15:00,IntersecciÃ³n B,2,0,77.3324,112.2612
80,41.2,30,2024-11-06 08:30:00,Calle C,3,0,48.9794,153.7473
68,86.5,58,2024-11-06 08:45:00,Calle A,1,0,-86.2709,31.9344
250,48.6,58,2024-11-06 09:00:00,Calle A,3,0,-63.4749,30.8743
326,92.6,14,2024-11-06 09:15:00,Avenida D,3,0,13.4628,17.8435
290,85.5,21,2024-11-06 09:30:00,Calle A,3,0,18.1756,-126.6152
347,59.3,21,2024-11-06 09:45:00,Calle C,1,0,-82.5879,-121.202
121,99.7,17,2024-11-06 10:00:00,Calle C,2,1,-81.4789,150.6292
326,50.1,17,2024-11-06 10:15:00,Plaza E,3,0,59.6468,41.2089
324,59.0,48,2024-11-06 10:30:00,Calle C,3,0,-58.1676,57.5762
393,65.3,5,2024-11-06 10:45:00,Calle A,3,1,33.543,-164.2202
261,95.3,48,2024-11-06 11:00:00,Avenida D,3,0,-57.8318,-29.4572
413,53.8,10,2024-11-06 11:15:00,Plaza E,3,1,73.3585,-171.0201
131,33.1,12,2024-11-06 11:30:00,Calle A,3,0,25.6392,-108.7354
98,63.6,16,2024-11-06 11:45:00,Avenida D,2,1,-43.844,64.0756
248,58.9,48,2024-11-06 12:00:00,Calle A,1,0,74.5146,153.0118
470,96.6,19,2024-11-06 12:15:00,Plaza E,3,1,0.479,38.2862
397,72.1,24,2024-11-06 12:30:00,Calle C,1,0,-44.2363,88.1932
347,71.2,39,2024-11-06 12:45:00,Plaza E,1,1,-18.6824,18.8053
236,75.2,31,2024-11-06 13:00:00,Calle C,1,1,-51.9388,-156.5787
240,84.0,39,2024-11-06 13:15:00,Plaza E,3,0,-11.5478,-31.6033
250,64.6,52,2024-11-06 13:30:00,IntersecciÃ³n B,1,0,68.4043,158.6263
87,72.2,11,2024-11-06 13:45:00,Calle A,3,0,-9.899,-16.7769
368,73.4,41,2024-11-06 14:00:00,Calle A,2,0,-75.0484,-129.0066
345,73.4,36,2024-11-06 14:15:00,IntersecciÃ³n B,2,0,44.4605,71.9942
